asset_id,asset_type,file_path,dimensions,description,character,priority,notes
aria_portrait,npc_portrait,/assets/art/npc/aria/aria_portrait.webp,768x1024,"Warm nurturing woman, soft features",Aria,High,"Bakery owner, apron, flour dusted"
aria_happy,npc_expression,/assets/art/npc/aria/aria_happy.webp,768x1024,"Aria with bright smile",Aria,High,"Genuine warmth"
aria_flustered,npc_expression,/assets/art/npc/aria/aria_flustered.webp,768x1024,"Aria blushing/embarrassed",Aria,Medium,"Romance moments"
aria_thoughtful,npc_expression,/assets/art/npc/aria/aria_thoughtful.webp,768x1024,"Aria contemplating",Aria,Medium,"Hand on chin perhaps"
aria_affectionate,npc_expression,/assets/art/npc/aria/aria_affectionate.webp,768x1024,"Aria showing deep care",Aria,Low,"Soft eyes, gentle smile"
aria_cafe_scene,npc_scene,/assets/art/npc/aria/aria_cafe_scene.webp,1920x1080,"Aria in bakery environment",Aria,Medium,"Full scene illustration"
kai_portrait,npc_portrait,/assets/art/npc/kai/kai_portrait.webp,768x1024,"Energetic man, athletic build",Kai,High,"Playground leader, sporty outfit"
kai_excited,npc_expression,/assets/art/npc/kai/kai_excited.webp,768x1024,"Kai pumped up",Kai,High,"Big grin, sparkling eyes"
kai_grinning,npc_expression,/assets/art/npc/kai/kai_grinning.webp,768x1024,"Kai with playful grin",Kai,Medium,"Mischievous energy"
kai_determined,npc_expression,/assets/art/npc/kai/kai_determined.webp,768x1024,"Kai focused on goal",Kai,Medium,"Serious but positive"
kai_tender,npc_expression,/assets/art/npc/kai/kai_tender.webp,768x1024,"Kai showing soft side",Kai,Low,"Romance moments"
kai_cafe_scene,npc_scene,/assets/art/npc/kai/kai_cafe_scene.webp,1920x1080,"Kai in playground area",Kai,Medium,"Action scene with pets"
elias_portrait,npc_portrait,/assets/art/npc/elias/elias_portrait.webp,768x1024,"Artistic man, elegant features",Elias,High,"Stylist, fashionable outfit"
elias_serene,npc_expression,/assets/art/npc/elias/elias_serene.webp,768x1024,"Elias at peace",Elias,High,"Calm presence"
elias_focused,npc_expression,/assets/art/npc/elias/elias_focused.webp,768x1024,"Elias concentrating on work",Elias,Medium,"Artist at work"
elias_warm,npc_expression,/assets/art/npc/elias/elias_warm.webp,768x1024,"Elias showing kindness",Elias,Medium,"Gentle smile"
elias_inspired,npc_expression,/assets/art/npc/elias/elias_inspired.webp,768x1024,"Elias having creative moment",Elias,Low,"Eyes lit up"
elias_cafe_scene,npc_scene,/assets/art/npc/elias/elias_cafe_scene.webp,1920x1080,"Elias in styling salon",Elias,Medium,"Artistic environment"