asset_id,asset_type,file_path,dimensions,description,priority,notes
love_pets_logo,logo,/art/love_pets_logo_transparent.png,512x512,"Main game logo",Complete,"Already implemented"
gacha_banner,ui_banner,/art/ui/gacha_banner.svg,1200x400,"Pet Adoption Center banner",High,"Welcoming, exciting design"
placeholder_icon,ui_icon,/art/ui/placeholder_icon.svg,64x64,"Generic icon placeholder",Complete,"Already exists"
placeholder_button,ui_button,/art/ui/placeholder_button.svg,200x60,"Generic button placeholder",Complete,"Already exists"
cafe_exterior,scene_bg,/assets/art/scenes/cafe_exterior.webp,1920x1080,"Cafe exterior view",High,"Opening scene background"
bakery_interior,scene_bg,/assets/art/scenes/bakery_interior.webp,1920x1080,"Bakery section interior",High,"Warm, cozy atmosphere"
playground_interior,scene_bg,/assets/art/scenes/playground_interior.webp,1920x1080,"Playground section interior",High,"Fun, energetic space"
styling_interior,scene_bg,/assets/art/scenes/styling_interior.webp,1920x1080,"Styling salon interior",High,"Elegant, artistic space"
childhood_kitchen,scene_bg,/assets/art/scenes/childhood_kitchen.webp,1920x1080,"Aria's backstory scene",Low,"Flashback style"
childhood_forest,scene_bg,/assets/art/scenes/childhood_forest.webp,1920x1080,"Kai's backstory scene",Low,"Adventure setting"
garden_pond,scene_bg,/assets/art/scenes/garden_pond.webp,1920x1080,"Elias's backstory scene",Low,"Peaceful, reflective"
gacha_room,scene_bg,/assets/art/scenes/gacha_room.webp,1920x1080,"Pet adoption center interior",Medium,"Magical, welcoming"
blog_interface,scene_bg,/assets/art/scenes/blog_interface.webp,1080x1920,"Blog UI background",Medium,"Social media style, mobile-first"
cat_lounge,memory_scene,/art/scenes/cat-lounge.svg,800x600,"Cat cafe section scene",Complete,"Already exists"
puppy_patio,memory_scene,/art/scenes/puppy-patio.svg,800x600,"Dog cafe section scene",Complete,"Already exists"
bird_bistro,memory_scene,/art/scenes/bird-bistro.svg,800x600,"Bird cafe section scene",Complete,"Already exists"
default_scene,memory_scene,/art/scenes/default.svg,800x600,"Generic memory scene",Complete,"Already exists"
cafe_background,scene_bg,/art/scenes/cafe_background.svg,1920x1080,"General cafe background",Complete,"Already exists"
coin_icon,currency_icon,/art/ui/coin.svg,64x64,"Regular currency icon",High,"Gold coin design"
gem_icon,currency_icon,/art/ui/gem.svg,64x64,"Premium currency icon",High,"Sparkly gem"
heart_icon,ui_icon,/art/ui/heart.svg,64x64,"Bond/love indicator",High,"Romance element"
clock_icon,ui_icon,/art/ui/clock.svg,64x64,"Timer/shift duration",High,"Clear readability"
star_icon,ui_icon,/art/ui/star.svg,64x64,"Rarity/rating indicator",High,"For pet rarities"
camera_icon,ui_icon,/art/ui/camera.svg,64x64,"Memory/photo icon",High,"For blog system"
chat_icon,ui_icon,/art/ui/chat.svg,64x64,"DM/messaging icon",Medium,"For NPC chats"
phone_icon,ui_icon,/art/ui/phone.svg,64x64,"Voice call icon",Medium,"For NPC calls"
settings_icon,ui_icon,/art/ui/settings.svg,64x64,"Settings menu icon",Medium,"Gear design"
save_icon,ui_icon,/art/ui/save.svg,64x64,"Save game icon",Medium,"Floppy disk or cloud"
load_icon,ui_icon,/art/ui/load.svg,64x64,"Load game icon",Medium,"Folder or arrow"
back_icon,ui_icon,/art/ui/back.svg,64x64,"Navigation back arrow",High,"Mobile navigation"
menu_icon,ui_icon,/art/ui/menu.svg,64x64,"Hamburger menu icon",High,"Mobile navigation"